samples,ratio,partial_ratio,token_sort_ratio,partial_token_sort_ratio,token_set_ratio,UWRatio
dragon investment co iii llc,"('agnc investment corp', 71)","('msg investment co', 88)","('hdi investment corp', 68)","('rlc investments inc', 81)","('msg investment co', 87)","('anr pipeline co', 86)"
gb&t bancshares,"('gb&t bancshares inc', 88)","('gb&t bancshares inc', 100)","('gb&t bancshares inc', 88)","('gb&t bancshares inc', 93)","('gb&t bancshares inc', 100)","('gb&t bancshares inc', 95)"
house/11a bushy neck lane/westhampton,"('anheuser-busch inbev sa/nv', 51)","('wyeth', 80)","('house of westmore inc', 52)","('wyeth', 80)","('lane co inc', 53)","('craft house corp', 86)"
lsw-life insurance co of the southwest,"('life insurance co of georgia', 70)","('crane co.', 88)","('northwestern mutual life insurance co (the)', 78)","('southwest water co', 82)","('pekin life insurance co', 85)","('a.a. importing co inc', 86)"
rydex s&p equal weight etf,"('guggenheim s&p 500 equal weight etf', 72)","('rydex etf trust guggenheim s&p 100 equal weight etf', 81)","('ishares msci usa equal weighted etf', 69)","('alps equal sector weight etf', 73)","('rydex etf trust - guggenheim s&p 500 equal weight real estate etf', 100)","('a i t s inc', 86)"
frederick co md bond,"('fredericks of hollywood', 65)","('price co', 75)","('frederick brewing co', 75)","('fei co.', 83)","('frederick brewing co', 75)","('acushnet co', 86)"
johnson matthey ltd,"('denison mines ltd', 61)","('the9 ltd', 88)","('denison mines ltd', 61)","('inco ltd', 75)","('johnson & johnson', 100)","('johnson & johnson', 95)"
american express centurion bank,"('american express co', 76)","('american express co', 95)","('american express co', 76)","('american bank/ct', 94)","('american express co', 91)","('american agronomics', 86)"
gmac automotive bank/cd,"('echo automotive inc', 71)","('motive inc', 80)","('sonic automotive inc.', 70)","('u s automotive manufacturing inc', 74)","('sonic automotive inc.', 70)","('bank one corp', 86)"
selectinvest event driven fund,"('alterman investment fund', 59)","('seec inc', 75)","('selective insurance group inc', 58)","('seec inc', 75)","('insight select income fund', 61)","('invesco bond fund', 86)"
hilliard lyons savings bond,"('lincoln savings bank/pa', 60)","('sm&a', 75)","('liberty savings bank/mo', 64)","('sun savings & loan/ca', 71)","('elmira savings bank elmira ny', 65)","('invesco bond fund', 86)"
financing corp fico strips,"('financial corp of america', 67)","('ina corp', 88)","('financial industries corp', 71)","('fgic corp', 89)","('gf corp', 73)","('aai corp', 86)"
blackrock international bond fund,"('varco international-old', 71)","('blackrock inc', 92)","('borland international inc', 72)","('sgi international', 87)","('bond international gold', 88)","('asm international nv', 86)"
icap plc,"('leica plc', 82)","('leica plc', 93)","('leica plc', 82)","('leica plc', 93)","('leica plc', 82)","('british american tobacco plc', 86)"
e-trade money market account,"('ebay gmarket co ltd', 60)","('trane co', 75)","('ebay gmarket co ltd', 60)","('marketo inc', 73)","('ebay gmarket co ltd', 60)","('at&e corp', 86)"
ishares 1-3 yr treas index,"('ishares 1-3 year treasury bond etf', 80)","('ishares 1-3 year treasury bond etf', 81)","('ishares 1-3 year treasury bond etf', 80)","('ishares 1-3 year treasury bond etf', 81)","('ishares 1-3 year treasury bond etf', 80)","('1 potato 2 inc', 86)"
lutherman brothers life insurance poway,"('southern educators life insurance co', 72)","('lutheran brotherhood', 80)","('southern educators life insurance co', 69)","('anthem insurance', 81)","('pekin life insurance co', 76)","('anixter brothers inc', 86)"
allinace bernstein global fund,"('alliancebernstein global high income fund inc', 75)","('alliancebernstein lp', 85)","('alliance global environment fund', 81)","('alliancebernstein global high income fund inc', 93)","('alliance global environment fund', 81)","('invesco bond fund', 86)"
dreyfus emerging markets fund,"('templeton emerging markets fund inc', 72)","('morgan stanley emerging markets fund inc.', 83)","('bldrs emerging markets 50 adr index fund', 72)","('wisdomtree emerging markets dividend fund', 83)","('templeton emerging markets fund inc', 84)","('invesco bond fund', 86)"
ishares singapore index,"('ishares msci singapore etf', 78)","('ishares msci singapore etf', 78)","('ishares msci singapore etf', 78)","('ishares msci frontier 100 index fund', 78)","('ishares msci singapore etf', 85)","('first trust exchange traded fund vi multi asset diversified income index fund', 86)"
fedex copr,"('fedex corp.', 90)","('fedex corp.', 90)","('fedex corp.', 90)","('fedex corp.', 90)","('fedex corp.', 90)","('fedex corp.', 90)"
ishares barclays intermediate credit bond fund,"('ishares intermediate credit bond etf', 83)","('ishares intermediate credit bond etf', 83)","('ishares intermediate credit bond etf', 83)","('ishares intermediate credit bond etf', 92)","('ishares intermediate credit bond etf', 94)","('ishares intermediate credit bond etf', 89)"
morgan stanley special value fund,"('morgan stanley china a share fund', 79)","('morgan stanley', 100)","('morgan stanley asia-pacific fund inc', 67)","('stanley inc', 82)","('morgan stanley', 100)","('morgan stanley', 90)"
merrill lynch beyond banking,"('merrill lynch & co inc', 72)","('merrill lynch & co inc', 73)","('merrill lynch convertible fund', 69)","('cbeyond inc', 82)","('merrill lynch & co inc', 79)","('access beyond inc', 86)"
s&p 500 large cap fund,"('s&p 500 geared fund inc', 71)","('sunamerica focused alpha large-cap fund inc', 77)","('s&p 500 geared fund inc', 71)","('spa marketgrader large cap 100 fund', 82)","('claymore exchange-traded fund trust 2 guggenheim u.s. large cap optimized volatility etf', 84)","('a i t s inc', 86)"
kayne anderson mlp invt co shs,"('kayne anderson mlp investment co', 84)","('nvf co', 83)","('kayne anderson mlp investment co', 84)","('mhp s.e', 86)","('kayne anderson mlp investment co', 84)","('anr pipeline co', 86)"
"townhouse/cambridge place/washington, dc","('pepsi-cola bottling of washington dc', 58)","('washington corp', 83)","('pepsi-cola bottling of washington dc', 59)","('washington corp', 80)","('washington corp', 80)","('cambridge royalty co', 86)"
synchrony bank accounts,"('synchrony financial', 62)","('union bank', 70)","('synchrony financial', 62)","('bank one corp', 69)","('synchrony financial', 64)","('bank one corp', 86)"
goldman sachs chandler ariz g,"('goldman sachs bdc inc', 68)","('goldman sachs bdc inc', 76)","('goldman sachs bdc inc', 60)","('goldman sachs bdc inc', 74)","('goldman sachs bdc inc', 76)","('b.g. foods inc', 86)"
jsc mmc norilsk nickel,"('mmc networks inc', 58)","('worlds inc', 70)","('nicklos oil & gas co', 60)","('nike inc', 75)","('nicklos oil & gas co', 60)","('mmc energy inc', 86)"
janus global select,"('trans global services inc', 68)","('first trust dow jones global select dividend index fund', 89)","('global net lease inc', 67)","('global x scientific beta asia ex-japan etf', 74)","('first trust dow jones global select dividend index fund', 81)","('arrow dow jones global yield etf', 86)"
tele centro oeste celular,"('tele centro oeste celular participacoes sa', 75)","('tele centro oeste celular participacoes sa', 100)","('tele centro oeste celular participacoes sa', 75)","('tele centro oeste celular participacoes sa', 88)","('tele centro oeste celular participacoes sa', 100)","('tele centro oeste celular participacoes sa', 90)"
european jpy put/usd call option,"('european equity fund inc (the)', 59)","('euronav', 71)","('coca-cola european partners plc', 57)","('ust inc.', 71)","('central european distribution corp', 58)","('north european oil co', 86)"
211-213 pender st (connie),"('j.b. poindexter & co. inc.', 52)","('deere & co', 80)","('west penn power co', 52)","('3m co', 80)","('west penn power co', 52)","('st regis corp', 86)"
brian babin dds dental practice,"('sullivan dental products inc', 58)","('pet practice inc', 73)","('alpine lace brands inc', 60)","('mbia inc.', 75)","('pet practice inc', 67)","('pet practice inc', 86)"
davids folly farm - real estate,"('california real estate-old', 60)","('b.b. real estate invt', 76)","('california real estate-old', 62)","('davis water & waste', 71)","('b.b. real estate invt', 76)","('cmc real estate corp', 86)"
daito trust construction co,"('granite construction inc.', 71)","('bfc construction corp', 80)","('sterling construction co inc', 73)","('nstar', 80)","('first trust global engineering and construction etf', 80)","('anr pipeline co', 86)"
tiaa-cref real estate,"('ishares us real estate etf', 68)","('tiaa-cref', 100)","('cmc real estate corp', 68)","('tiaa-cref', 78)","('tiaa-cref', 100)","('tiaa-cref', 90)"
bsj bancshares,"('cb bancshares inc', 77)","('boatmens bancshares inc', 86)","('cb bancshares inc', 77)","('boatmens bancshares inc', 86)","('allied bancshares inc/tx', 83)","('allied bancshares inc/tx', 86)"
waddell & reed advisors asset strategy,"('waddell & reed financial inc.', 58)","('sm&a', 75)","('advisorshares sage core reserves etf', 58)","('scor se', 71)","('pimco advisors lp', 64)","('reed tool co', 86)"
invesco american franchise fund,"('american lafrance inc', 65)","('amerco', 83)","('american cruise lines inc', 71)","('amerco', 83)","('invesco bond fund', 83)","('american agronomics', 86)"
nationwide retirement services,"('nationwide legal services', 76)","('servisco', 75)","('nationwide legal services', 69)","('servisco', 75)","('nationwide legal services', 86)","('adia services inc', 86)"
virginia comwlth transp brd bond,"('virginia commonwealth financial', 60)","('aecom', 80)","('freedom bank of virginia', 61)","('beard co', 75)","('virginia gas co', 70)","('invesco bond fund', 86)"
congressional fed savings,"('crossland savings fsb', 61)","('talend sa', 78)","('crossland savings fsb', 65)","('palfed inc', 70)","('crossland savings fsb', 65)","('fed-mart corp', 86)"
lvip delaware bond retirement annuity,"('health care & retirement corp', 55)","('aware inc.', 78)","('retirement care assn inc', 62)","('aware inc.', 78)","('voya retirement insurance and annuity co', 68)","('invesco bond fund', 86)"
ao winery,"('aol inc', 62)","('ravenswood winery inc', 89)","('interdyne co', 67)","('ravenswood winery inc', 89)","('ravenswood winery inc', 80)","('ravenswood winery inc', 86)"
"1200 baylor/austin, tx","('bancorp inc (the)', 53)","('bayer ag', 75)","('naylor industries inc', 52)","('valcor inc', 70)","('monk austin inc', 57)","('camco inc/tx', 86)"
schwab advisor cash reserves,"('schwab short-term us treasury etf', 59)","('abb ab', 67)","('advisorshares sage core reserves etf', 66)","('scor se', 71)","('advisorshares sage core reserves etf', 66)","('schwab safe inc', 86)"
"td bank(lewiston, maine)/checking","('mark twain marine inc', 56)","('boston & maine corp', 68)","('lexington savings bank/ma', 61)","('disston inc', 73)","('opus bank', 62)","('american bank note co', 86)"
market vectors arg ros,"('market vectors-rupee/usd etn', 72)","('market vectors bank and brokerage etf', 77)","('market vectors-rupee/usd etn', 72)","('market vectors double long euro etn', 80)","('market vectors msci international quality etf', 78)","('vaneck vectors emerging markets high yield bond etf', 86)"
hittite microwave,"('hittite microwave corp', 87)","('hittite microwave corp', 100)","('hittite microwave corp', 87)","('hittite microwave corp', 100)","('hittite microwave corp', 100)","('hittite microwave corp', 95)"
maryland state health & higher education bond,"('u s health & recreation inc', 61)","('educate inc', 73)","('beacon education managment inc', 58)","('seal inc', 75)","('maryland cup corp', 64)","('invesco bond fund', 86)"
texas public financing auth bond,"('desk top financial solutions', 57)","('ubics inc', 78)","('east texas financial services inc', 62)","('texas plastics inc', 76)","('east texas financial services inc', 62)","('invesco bond fund', 86)"
arris group,"('harris corp', 73)","('harris & harris group-old', 100)","('aril group inc', 72)","('barnes group inc', 82)","('harris & harris group-old', 81)","('harris & harris group-old', 90)"
spdr ser trust,"('spdr gold trust', 76)","('etfis series trust i - infracap mlp etf', 79)","('spdr gold trust', 76)","('spdr series trust - spdr s&p 500 buyback etf', 86)","('spdr ssga active etf trust', 83)","('api trust', 86)"
loomis sayles credit asset fund,"('flexshares core select bond fund', 57)","('oi sa', 80)","('avenue income credit strategies fund', 66)","('oi sa', 80)","('loomis corp', 71)","('invesco bond fund', 86)"
lincoln annuity,"('lincoln bancorp', 67)","('lincoln financial corp', 73)","('lincoln first banks', 71)","('genuity inc', 82)","('lincoln first banks', 71)","('lincoln america corp/ny', 86)"
davis growth opportunity fund,"('first opportunity fund inc', 73)","('first opportunity fund inc', 79)","('first opportunity fund inc', 73)","('first opportunity fund inc', 77)","('first opportunity fund inc', 76)","('invesco bond fund', 86)"
